tid1,tid2,weight
49fueUd2ik003xurF75RB6,2hEIf6XSRy6b0og01o6ovc,1.0
49fueUd2ik003xurF75RB6,4gT3mNJA8lnlkYFqGZ8IA2,0.5
2hEIf6XSRy6b0og01o6ovc,4gT3mNJA8lnlkYFqGZ8IA2,1.0
2hEIf6XSRy6b0og01o6ovc,2LbL1HaoZrXrCR538uxUjl,0.5
4gT3mNJA8lnlkYFqGZ8IA2,2LbL1HaoZrXrCR538uxUjl,1.0
4gT3mNJA8lnlkYFqGZ8IA2,4laPr385Muc7JizVBqH8Zr,0.5
2LbL1HaoZrXrCR538uxUjl,4laPr385Muc7JizVBqH8Zr,1.0
2LbL1HaoZrXrCR538uxUjl,7JYrTk7mnJHUNn2WT3Rc0D,0.5
4laPr385Muc7JizVBqH8Zr,7JYrTk7mnJHUNn2WT3Rc0D,1.0
4laPr385Muc7JizVBqH8Zr,3IZLJpA5FugqynOBT2SeJy,0.5
7JYrTk7mnJHUNn2WT3Rc0D,3IZLJpA5FugqynOBT2SeJy,1.0
7JYrTk7mnJHUNn2WT3Rc0D,7Guni9Kv4cxajoglZLzfuN,0.5
6gTsB6szFZhzDkVYY1JS9q,0Io8vVaZcG4a10urnblF2H,1.0
6gTsB6szFZhzDkVYY1JS9q,268V0Smf1rkcfKH40eVlHt,0.5
0Io8vVaZcG4a10urnblF2H,268V0Smf1rkcfKH40eVlHt,1.0
0Io8vVaZcG4a10urnblF2H,0Lti06D5MbTKj394SBlFla,0.5
268V0Smf1rkcfKH40eVlHt,0Lti06D5MbTKj394SBlFla,1.0
268V0Smf1rkcfKH40eVlHt,3InFcD65QGmnAC5NiFMEG9,0.5
0Lti06D5MbTKj394SBlFla,3InFcD65QGmnAC5NiFMEG9,1.0
0Lti06D5MbTKj394SBlFla,5IIq5uEYpUZoSjTEjqn7q1,0.5
3InFcD65QGmnAC5NiFMEG9,5IIq5uEYpUZoSjTEjqn7q1,1.0
3InFcD65QGmnAC5NiFMEG9,4j8NMLIzPyNtGDmVBcz5ER,0.5
5IIq5uEYpUZoSjTEjqn7q1,4j8NMLIzPyNtGDmVBcz5ER,1.0
5IIq5uEYpUZoSjTEjqn7q1,2VBMkgIQ2cT2uReXjniWsS,0.5
